Date,Open,High,Low,Close,Adj Close
4/18/2019,2599.860107,2604.040039,2579.709961,2588.209961,2588.209961
4/22/2019,2593.909912,2608.370117,2591.689941,2605.98999,2605.98999
4/23/2019,2608.330078,2629.25,2605.699951,2629.040039,2629.040039
4/24/2019,2627.629883,2628.639893,2602.580078,2602.580078,2602.580078
4/25/2019,2604.159912,2609.209961,2588.889893,2591.800049,2591.800049
4/26/2019,2572.399902,2590.899902,2550.290039,2590.169922,2590.169922
4/29/2019,2589.580078,2592.300049,2576.810059,2579.27002,2579.27002
4/30/2019,2584.030029,2589.209961,2570.830078,2573.580078,2573.580078
5/1/2019,2573.290039,2580.689941,2558.199951,2558.199951,2558.199951
5/2/2019,2545.72998,2556.790039,2532.449951,2542.389893,2542.389893
5/3/2019,2551.669922,2567.070068,2543.860107,2562.5,2562.5
5/6/2019,2531.429932,2565.409912,2528.830078,2561.290039,2561.290039
5/7/2019,2561.290039,2561.290039,2531.399902,2553.120117,2553.120117
5/8/2019,2549.300049,2565.22998,2542.189941,2543.810059,2543.810059
5/9/2019,2518.189941,2552.98999,2494.959961,2550.26001,2550.26001
5/10/2019,2547.840088,2578.790039,2538.469971,2576.899902,2576.899902
5/13/2019,2533.889893,2547.850098,2518.209961,2523.639893,2523.639893
5/14/2019,2523.639893,2553.25,2523.639893,2548.870117,2548.870117
5/15/2019,2538.689941,2568.389893,2536.26001,2561.790039,2561.790039
5/16/2019,2561.790039,2581.969971,2561.790039,2572.830078,2572.830078
5/17/2019,2561.719971,2573.899902,2551.699951,2551.699951,2551.699951
5/20/2019,2543.810059,2565.209961,2539.530029,2550.620117,2550.620117
5/21/2019,2560.830078,2573.659912,2552.72998,2569.610107,2569.610107
5/22/2019,2553.47998,2557.139893,2531.469971,2544.939941,2544.939941
5/23/2019,2521.959961,2521.959961,2468.939941,2484.959961,2484.959961
5/24/2019,2499.01001,2505.72998,2486.48999,2489.969971,2489.969971
5/28/2019,2485.629883,2493.800049,2456.560059,2458.77002,2458.77002
5/29/2019,2444.27002,2471.560059,2443.560059,2468.449951,2468.449951
5/30/2019,2468.550049,2475.25,2453.129883,2456.659912,2456.659912
5/31/2019,2430.830078,2454,2426.610107,2442.570068,2442.570068
6/3/2019,2451.47998,2475.600098,2451.47998,2460.719971,2460.719971
6/4/2019,2475.850098,2485.73999,2466.290039,2479.030029,2479.030029
6/5/2019,2487.169922,2493.219971,2471.570068,2483.48999,2483.48999
6/6/2019,2482.129883,2508.72998,2480.030029,2504.909912,2504.909912
6/7/2019,2509.580078,2524.199951,2504.02002,2514.199951,2514.199951
6/10/2019,2514.280029,2524.969971,2502.669922,2505.909912,2505.909912
6/11/2019,2508.030029,2516.659912,2489.409912,2500.23999,2500.23999
6/12/2019,2500.25,2508.399902,2482.639893,2485.929932,2485.929932
6/13/2019,2497.649902,2507.959961,2493.159912,2507.399902,2507.399902
6/14/2019,2510.800049,2514.469971,2494.580078,2497.27002,2497.27002
6/17/2019,2497.27002,2514.560059,2490.280029,2506.709961,2506.709961
6/18/2019,2506.719971,2540.419922,2506.719971,2525.149902,2525.149902
6/19/2019,2523.219971,2545.320068,2516.469971,2539.76001,2539.76001
