Date,Close,Open,High,Low,Vol.,Change %
6/14/2023,63.6,64.14,65.1,63.03,24.03M,0.06%
6/13/2023,63.56,63.55,64.24,63.13,19.96M,-0.27%
6/12/2023,63.73,63.6,64.26,63.12,15.97M,0.38%
6/9/2023,63.49,64,64.06,62.43,17.15M,-1.17%
6/8/2023,64.24,64.2,64.69,63.99,13.57M,0.31%
6/7/2023,64.04,65.25,65.32,63.55,15.51M,-1.51%
6/6/2023,65.02,64.43,65.18,64.23,13.04M,0.79%
6/5/2023,64.51,64.07,64.98,63.51,13.50M,0.86%
6/2/2023,63.96,63.74,64.39,63.56,16.44M,1.44%
6/1/2023,63.05,62.41,63.61,61.83,16.69M,1.71%
5/31/2023,61.99,61.84,63.22,61.17,27.79M,-0.10%
5/30/2023,62.05,61.04,62.19,59.55,21.36M,3.04%
5/26/2023,60.22,59.5,60.61,58.95,20.67M,1.43%
5/25/2023,59.37,61.74,61.74,59.31,24.46M,-3.93%
5/24/2023,61.8,61.65,62.22,61.23,14.79M,-0.32%
5/23/2023,62,63.03,63.3,61.84,16.82M,-1.63%
5/22/2023,63.03,60.95,63.15,60.65,20.22M,3.46%
5/19/2023,60.92,61.9,61.95,60.71,19.40M,-0.57%
5/18/2023,61.27,61.46,61.65,60.46,19.82M,-0.31%
5/17/2023,61.46,61.15,61.72,60.4,19.94M,1.09%
5/16/2023,60.8,61.8,61.98,60.75,17.52M,-2.33%
5/15/2023,62.25,61.75,62.73,61.58,20.63M,0.91%
5/12/2023,61.69,64.1,64.18,61.31,28.71M,-3.88%
5/11/2023,64.18,63.45,64.38,62.64,27.90M,1.26%
5/10/2023,63.38,66.5,66.59,62.78,46.31M,-3.83%
5/9/2023,65.9,69.53,69.68,65.85,68.70M,-12.73%
5/8/2023,75.52,75.71,76.38,74.92,22.86M,0.73%
5/5/2023,74.97,72.96,75.08,72.94,11.95M,4.40%
5/4/2023,71.81,71.77,73.05,71.75,10.23M,0.53%
5/3/2023,71.43,72.41,72.99,71.35,11.87M,-1.18%
5/2/2023,72.28,74.82,75.06,71.93,12.77M,-3.77%
5/1/2023,75.11,76.03,76.5,74.97,6.86M,-1.17%
4/28/2023,76,74.24,76.05,73.92,10.72M,2.33%
4/27/2023,74.27,73,74.37,72.96,11.42M,3.07%
4/26/2023,72.06,71.21,72.76,71.03,9.07M,0.39%
4/25/2023,71.78,73.9,74.29,71.76,10.26M,-3.38%
4/24/2023,74.29,74.41,74.87,73.38,7.46M,0.15%
4/21/2023,74.18,73.4,74.24,72.92,8.59M,0.82%
4/20/2023,73.58,74.4,74.97,73.47,8.85M,-2.31%
4/19/2023,75.32,75.3,75.94,74.1,8.89M,-1.44%
4/18/2023,76.42,77.71,77.94,76.21,7.56M,-1.18%
4/17/2023,77.33,76.83,77.95,76.55,9.72M,1.05%
4/14/2023,76.53,75.2,76.74,75.15,8.90M,1.34%
4/13/2023,75.52,73.71,75.56,73.56,8.72M,2.75%
4/12/2023,73.5,73.94,75.7,73.35,10.42M,-0.11%
4/11/2023,73.58,76.03,76.44,73.21,14.19M,-1.26%
4/10/2023,74.52,74.46,74.86,73.46,7.59M,-0.59%
4/6/2023,74.96,73.27,75,72.28,10.52M,1.83%
4/5/2023,73.61,75.11,75.11,73.11,10.81M,-2.19%
